target,RMSE,MAE,SMOOTHING_WINDOW_HPT,SMOOTHING_WINDOW_HPC,SMOOTHING_WINDOW_WW
Cycles_to_HPT_SV,1355.8512633458158,1106.8904784907563,424,300,50
Cycles_to_HPC_SV,2651.106554636232,1889.6316009090926,424,300,50
